Subject 1,Subject 2,Relationship1,Relationship2
Pavlos_Giannakopoulos,Dimitrios_Giannakopoulos,Father,Son
Marianna_Vardinogianni,Giannis_Vardinogiannis,Mother,Son
Giannis_Zouganelis,Eleonora_Zouganeli,Father,Daughter
Ntinos_Karidis,Smaragda_Karidi,Father,Daughter
Stratos_Dionisiou,Stelios_Dionisiou,Father,Son
George_Bush_Sr,George_Bush_Jr,Father,Son
Joey_Bishop,Larry_Bishop,Father,Son
Ioannis_Varvitsiotis,Miltiadis_Varvitsiotis,Father,Son
John_Huston,Anjelica_Huston,Father,Daughter
John_Huston,Danny_Huston,Father,Son
Eddie_Fisher,Carrie_Fisher,Father,Daughter
Mickey_Hargitay,Mariska_Hargitay,Father,Daughter
Jayne_Mansfield,Mariska_Hargitay,Mother,Daughter
Harry_Redknapp,Jamie_Redknapp,Father,Son
Dragan_Sakota,Dusan_Sakota,Father,Son
Peter_Schmeichel,Kasper_Schmeichel,Father,Son
Zinedine_Zidane,Enzo_Zidane,Father,Son
Diego_Maradona,Diego_Sinagra,Father,Son
Jean_Djorkaeff,Youri_Djorkaeff,Father,Son
Danny_Blind,Daley_Blind,Father,Son
Boban_Jankovic,Vladimir_Jankovic,Father,Son
Bob_Boone,Aaron_Boone,Father,Son
Bob_Boone,Bret_Boone,Father,Son
David_Beckham,Brooklyn_Beckham,Father,Son
Victoria_Beckham,Brooklyn_Beckham,Mother,Son
Cesare_Maldini,Paolo_Maldini,Father,Son
Archie_Manning,Eli_Manning,Father,Son
Archie_Manning,Peyton_Manning,Father,Son
Frank_Lampard_Sr,Frank_Lampard,Father,Son
Arnold_Schwarzenegger,Patrick_Schwarzenegger,Father,Son
Arnold_Schwarzenegger,Katherine_Schwarzenegger,Father,Daughter
Eunice_Kennedy_Shriver,Maria_Shriver,Mother,Daughter
Eunice_Kennedy_Shriver,Mark_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Timothy_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Bobby_Shriver,Mother,Son
Eunice_Kennedy_Shriver,Anthony_Shriver,Mother,Son
John_F_Kennedy,Caroline_Kennedy,Father,Daughter
Jacqueline_Kennedy_Onassis,Caroline_Kennedy,Mother,Daughter
Ted_Kennedy,Edward_M_Kennedy_Jr,Father,Son
Ted_Kennedy,Kara_Kennedy,Father,Daughter
Ted_Kennedy,Patrick_J_Kennedy,Father,Son
Robert_F_Kennedy,Kathleen_Kennedy_Townsend,Father,Daughter
Robert_F_Kennedy,Joseph_P_Kennedy_II,Father,Son
Robert_F_Kennedy,Robert_F_Kennedy_Jr,Father,Son
Robert_F_Kennedy,Kerry_Kennedy,Father,Daughter
Robert_F_Kennedy,Christopher_G_Kennedy,Father,Son
Robert_F_Kennedy,Max_Kennedy,Father,Son
Robert_F_Kennedy,Rory_Kennedy,Father,Daughter
Jean_Kennedy_Smith,William_Kennedy_Smith,Mother,Son
Joseph_P_Kennedy_II,Joseph_P_Kennedy_III,Father,Son
Ethel_Kennedy,Joseph_P_Kennedy_III,Mother,Son
Caroline_Kennedy,Rose_Schlossberg,Mother,Daughter
Ronald_Reagan,Patti_Davis,Father,Daughter
Ronald_Reagan,Michael_Reagan,Father,Son
Ronald_Reagan,Ron_Reagan,Father,Son
Bill_Clinton,Chelsea_Clinton,Father,Daughter
Hillary_Clinton,Chelsea_Clinton,Mother,Daughter
Barbara_Bush,George_Bush_Jr,Mother,Son
George_Bush_Jr,Barbara_Pierce_Bush,Father,Daughter
George_Bush_Jr,Jenna_Bush_Hager,Father,Daughter
Laura_Bush,Barbara_Pierce_Bush,Mother,Daughter
Laura_Bush,Jenna_Bush_Hager,Mother,Daughter
Nancy_Reagan,Patti_Davis,Mother,Daughter
Nancy_Reagan,Ron_Reagan,Mother,Son
Tony_Benn,Hilary_Benn,Father,Son
Steven_Tyler,Liv_Tyler,Father,Daughter
Bebe_Buell,Liv_Tyler,Mother,Daughter
Natalie_Wood,Natasha_Gregson_Wagner,Mother,Daughter
Bruce_Willis,Rumer_Willis,Father,Daughter
Vanessa_Williams,Jillian_Hervey,Mother,Daughter
Robert_Redford,Amy_Redford,Father,Daughter
Ingrid_Bergman,Isabella_Rossellini,Mother,Daughter
Catherine_Deneuve,Chiara_Mastroianni,Mother,Daughter
Marcello_Mastroianni,Chiara_Mastroianni,Father,Daughter
Mickey_Rooney,Mickey_Rooney_Jr,Father,Son
Mickey_Rooney,Tim_Rooney,Father,Son
Aristotle_Onassis,Christina_Onassis,Father,Daughter
Christina_Onassis,Athina_Onassis,Mother,Daughter
Thierry_Roussel,Athina_Onassis,Father,Daughter
Johnny_Depp,Lily_Rose_Depp,Father,Daughter
Vanessa_Paradis,Lily_Rose_Depp,Mother,Daughter
Bella_Hadid,Gigi_Hadid,Sister,Sister
Charlie_Sheen,Emilio_Estevez,Brother,Brother
Beau_Bridges,Jeff_Bridges,Brother,Brother
Jane_Fonda,Peter_Fonda,Sister,Brother
Maggie_Gyllenhaal,Jake_Gyllenhaal,Sister,Brother
Ben_Affleck,Casey_Affleck,Brother,Brother
Rosanna_Arquette,Richmond_Arquette,Sister,Brother
Rosanna_Arquette,Patricia_Arquette,Sister,Sister
Rosanna_Arquette,David_Arquette,Sister,Brother
Richmond_Arquette,Patricia_Arquette,Brother,Sister
Richmond_Arquette,David_Arquette,Brother,Brother
Patricia_Arquette,David_Arquette,Sister,Brother
Natalie_Appleton,Nicole_Appleton,Sister,Sister
Sean_Astin,Mackenzie_Astin,Brother,Brother
Daniel_Day_Lewis,Tamasin_Day_Lewis,Brother,Sister
William_Baldwin,Stephen_Baldwin,Brother,Brother
William_Baldwin,Daniel_Baldwin,Brother,Brother
William_Baldwin,Alec_Baldwin,Brother,Brother
Stephen_Baldwin,Daniel_Baldwin,Brother,Brother
Stephen_Baldwin,Alec_Baldwin,Brother,Brother
Daniel_Baldwin,Alec_Baldwin,Brother,Brother
Desi_Arnaz_Jr,Lucie_Arnaz,Brother,Sister
John_Travolta,Ellen_Travolta,Brother,Sister
Carlos_Bardem,Javier_Bardem,Brother,Brother
Jason_Bateman,Justine_Bateman,Brother,Sister
Warren_Beatty,Shirley_MacLaine,Brother,Sister
Jenny_Berggren,Jonas_Berggren,Sister,Brother
Jenny_Berggren,Linn_Berggren,Sister,Sister
Jonas_Berggren,Linn_Berggren,Brother,Sister
Elizabeth_Bracco,Lorraine_Bracco,Sister,Sister
Kirk_Cameron,Candance_Cameron,Brother,Sister
Keith_Carradine,Robert_Carradine,Brother,Brother
Keith_Carradine,David_Carradine,Brother,Brother
Robert_Carradine,David_Carradine,Brother,Brother
Zoe_Cassavetes,Nick_Cassavetes,Sister,Brother
Marcus_Chong,Rae_Dawn_Chong,Brother,Sister
Marcus_Chong,Robbi_Chong,Brother,Sister
Rae_Dawn_Chong,Robbi_Chong,Sister,Sister
Barry_Chuckle,Paul_Chuckle,Brother,Brother
Nick_Clooney,Rosemary_Clooney,Brother,Sister
Ethan_Coen,Joel_Coen,Brother,Brother
Talia_Shire,Francis_Ford_Coppola,Sister,Brother
Joan_Cusack,John_Cusack,Sister,Brother
Niamh_Cusack,Sinead_Cusack,Sister,Sister
Tyne_Daly,Tim_Daly,Sister,Brother
David_DeLuise,Michael_DeLuise,Brother,Brother
David_DeLuise,Peter_DeLuise,Brother,Brother
Michael_DeLuise,Peter_DeLuise,Brother,Brother
Guillaume_Depardieu,Julie_Depardieu,Brother,Sister
Zoey_Deschanel,Emily_Deschanel,Sister,Sister
Alison_Eastwood,Scott_Eastwood,Sister,Brother
Joseph_Fiennes,Ralph_Fiennes,Brother,Brother
Edward_Fox,James_Fox,Brother,Brother
Melissa_Gilbert,Sara_Gilbert,Sister,Sister
Liam_Gallagher,Noel_Gallagher,Brother,Brother
Kate_Hudson,Oliver_Hudson,Sister,Brother
Chris_Hemsworth,Liam_Hemsworth,Brother,Brother
Chris_Hemsworth,Luke_Hemsworth,Brother,Brother
Liam_Hemsworth,Luke_Hemsworth,Brother,Brother
David_Hewlett,Kate_Hewlett,Brother,Sister
Nicky_Hilton,Paris_Hilton,Sister,Sister
Ron_Howard,Clint_Howard,Brother,Brother
Virginia_Madsen,Michael_Madsen,Sister,Brother
Anjelica_Huston,Danny_Huston,Sister,Brother
Enrique_Iglesias,Julio_Iglesias_Jr,Brother,Brother
Enrique_Iglesias,Chabeli_Iglesias,Brother,Sister
Julio_Iglesias_Jr,Chabeli_Iglesias,Brother,Sister
Ashley_Judd,Wynonna_Judd,Sister,Sister
Kim_Kardhashian,Kourtney_Kardhashian,Sister,Sister
Kim_Kardhashian,Khloe_Kardhashian,Sister,Sister
Kim_Kardhashian,Rob_Kardhashian,Sister,Brother
Kourtney_Kardhashian,Khloe_Kardhashian,Sister,Sister
Kourtney_Kardhashian,Rob_Kardhashian,Sister,Brother
Khloe_Kardhashian,Rob_Kardhashian,Sister,Brother
Andrew_Lawrence,Joey_Lawrence,Brother,Brother
Andrew_Lawrence,Matthew_Lawrence,Brother,Brother
Joey_Lawrence,Matthew_Lawrence,Brother,Brother
Donovan_Leitch_Jr,Ione_Skye,Brother,Sister
Jerry_Lee_Lewis,Linda_Gail_Lewis,Brother,Sister
Chad_Lowe,Rob_Lowe,Brother,Brother
Benji_Madden,Joel_Madden,Brother,Brother
Gary_Marshall,Penny_Marshall,Brother,Sister
Mary_McCartney,Stella_McCartney,Sister,Sister
Mary_McCartney,James_McCartney,Sister,Brother
Stella_McCartney,James_McCartney,Sister,Brother
Bill_Murray,John_Murray,Brother,Brother
Bill_Murray,Joel_Murray,Brother,Brother
Bill_Murray,Brian_Doyle_Murray,Brother,Brother
John_Murray,Joel_Murray,Brother,Brother
John_Murray,Brian_Doyle_Murray,Brother,Brother
Joel_Murray,Brian_Doyle_Murray,Brother,Brother
Ashley_Olsen,Elizabeth_Olsen,Sister,Sister
Ashley_Olsen,Mary_Kate_Olsen,Sister,Sister
Elizabeth_Olsen,Mary_Kate_Olsen,Sister,Sister
Emily_Osment,Haley_Joel_Osment,Sister,Brother
Sean_Penn,Chris_Penn,Brother,Brother
Joaquin_Phoenix,Rain_Phoenix,Brother,Sister
Joaquin_Phoenix,River_Phoenix,Brother,Brother
Joaquin_Phoenix,Summer_Phoenix,Brother,Sister
Rain_Phoenix,River_Phoenix,Sister,Brother
Rain_Phoenix,Summer_Phoenix,Sister,Sister
River_Phoenix,Summer_Phoenix,Brother,Sister
Dennis_Quaid,Randy_Quaid,Brother,Brother
Joely_Richardson,Natasha_Richardson,Sister,Sister
Eric_Roberts,Julia_Roberts,Brother,Sister
Fred_Savage,Ben_Savage,Brother,Brother
John_Savage,Jim_Youngs,Brother,Brother
Julia_Sawalha,Nadia_Sawalha,Sister,Sister
Ridley_Scott,Tonny_Scott,Brother,Brother
Andrew_Shue,Elisabeth_Shue,Brother,Sister
Jessica_Simpson,Ashlee_Simpson,Sister,Sister
Lori_Singer,Marc_Singer,Sister,Brother
Alexander_Skansgard,Bill_Skansgard,Brother,Brother
Alexander_Skansgard,Gustaf_Skansgard,Brother,Brother
Bill_Skansgard,Gustaf_Skansgard,Brother,Brother
Frank_Stallone,Sylvester_Stallone,Brother,Brother
Dean_Stockwell,Guy_Stockwell,Brother,Brother
Grace_Gummer,Mamie_Gummer,Sister,Sister
Emma_Thompson,Sophie_Thompson,Sister,Sister
Ashley_Tisdale,Jennifer_Tisdale,Sister,Sister
David_Tom,Heather_Tom,Brother,Sister
David_Tom,Nicholle_Tom,Brother,Sister
Heather_Tom,Nicholle_Tom,Sister,Sister
Donald_Trump_Jr,Eric_Trump,Brother,Brother
Donald_Trump_Jr,Ivanka_Trump,Brother,Sister
Eric_Trump,Ivanka_Trump,Brother,Sister
James_Waterston,Katherine_Waterston,Brother,Sister
Andrew_Wilson,Luke_Wilson,Brother,Brother
Andrew_Wilson,Owen_Wilson,Brother,Brother
Luke_Wilson,Owen_Wilson,Brother,Brother
Peter_Woodward,Tim_Woodward,Brother,Brother
Billy_Zane,Lisa_Zane,Brother,Sister
Kay_Panabaker,Danielle_Panabaker,Sister,Sister
Jennifer_Tilly,Meg_Tilly,Sister,Sister
Britney_Spears,Jamie_Lynn_Spears,Sister,Sister
Vanessa_Redgrave,Lynn_Redgrave,Sister,Sister
Dedee_Pfeiffer,Michelle_Pfeiffer,Sister,Sister
Kylie_Minogue,Dannii_Minogue,Sister,Sister
Alyson_Michalka,Amanda_Michalka,Sister,Sister
Kate_Mara,Rooney_Mara,Sister,Sister
Emily_Robison,Martie_Maguire,Sister,Sister
Shelby_Lynne,Allison_Moorer,Sister,Sister
Olivia_de_Havilland,Joan_Fontaine,Sister,Sister
Melissa_Joan,Emily_Hart,Sister,Sister
Majandra_Delfino,Marieh_Delfino,Sister,Sister
Moja_Brennan,Enya,Sister,Sister
Hilary_Duff,Haylie_Duff,Sister,Sister
Aaron_Carter,Nick_Carter,Brother,Brother
James_Arness,Peter_Graves,Brother,Brother
Aaron_Ashmore,Swawn_Ashmore,Brother,Brother
Jim_Belushi,John_Belushi,Brother,Brother
Cameron_Daddo,Andrew_Daddo,Brother,Brother
Cameron_Daddo,Lochie_Daddo,Brother,Brother
Andrew_Daddo,Lochie_Daddo,Brother,Brother
Kevin_Dillon,Matt_Dillon,Brother,Brother
Anthony_Head,Murray_Head,Brother,Brother
Joe_Jonas,Kevin_Jonas,Brother,Brother
Joe_Jonas,Nick_Jonas,Brother,Brother
Kevin_Jonas,Nick_Jonas,Brother,Brother
Christopher_Nolan,Jonanthan_Nolan,Brother,Brother
Charlie_OConnell,Jerry_OConnell,Brother,Brother
Geoff_Stults,George_Stults,Brother,Brother
David_Suchet,John_Suchet,Brother,Brother
Don_Swayze,Patrick_Swayze,Brother,Brother
Dick_Van_Dyke,Jerry_Van_Dyke,Brother,Brother
John_Badham,Mary_Badham,Brother,Sister
Dakota_Fanning,Elle_Fanning,Sister,Sister
Kieran_Culkin,Macaulay_Culkin,Brother,Brother
Kieran_Culkin,Rory_Culkin,Brother,Brother
Macaulay_Culkin,Rory_Culkin,Brother,Brother
Abigail_Breslin,Spencer_Breslin,Sister,Brother
Dave_Franco,James_Franco,Brother,Brother
Ben_Foster,Jon_Foster,Brother,Brother
Tim_Robbins,Adele_Robbins,Brother,Sister
Colin_Firth,Jonathan_Firth,Brother,Brother
Hallie_Kate_Eisenberg,Jesse_Eisenberg,Sister,Brother
Margaux_Hemingway,Mariel_Hemingway,Sister,Sister
Lars_Mikkelsen,Mads_Mikkelsen,Brother,Brother
Vera_Farmiga,Taissa_Farmiga,Sister,Sister
Prince_Harry,Prince_Williams,Brother,Brother
Jack_Osbourne,Kelly_Osbourne,Brother,Sister
Anne_Princess_Royal,Charles_Prince_of_Wales,Sister,Brother
Anne_Princess_Royal,Prince_Andrew_Duke_of_York,Sister,Brother
Anne_Princess_Royal,Prince_Edward_Earl_of_Wessex,Sister,Brother
Charles_Prince_of_Wales,Prince_Andrew_Duke_of_York,Brother,Brother
Charles_Prince_of_Wales,Prince_Edward_Earl_of_Wessex,Brother,Brother
Prince_Andrew_Duke_of_York,Prince_Edward_Earl_of_Wessex,Brother,Brother
Dylan_Penn,Hopper_Penn,Sister,Brother
Emilia_Fox,Freddie_Fox,Sister,Brother
Toby_Stephens,Chris_Larkin,Brother,Brother
Pavlos_Giannakopoulos,Thanasis_Giannakopoulos,Brother,Brother
Kyriakos_Mitsotakis,Dora_Bakoyannis,Brother,Sister
Frank_De_Boer,Ronald_De_Boer,Brother,Brother
Aaron_Boone,Bret_Boone,Brother,Brother
Valerie_Courtois,Thibaut_Courtois,Sister,Brother
Gary_Neville,Phil_Neville,Brother,Brother
Eli_Manning,Peyton_Manning,Brother,Brother
Katherine_Schwarzenegger,Patrick_Schwarzenegger,Sister,Brother
Eunice_Kennedy_Shriver,John_F_Kennedy,Sister,Brother
Eunice_Kennedy_Shriver,Ted_Kennedy,Sister,Brother
Eunice_Kennedy_Shriver,Robert_F_Kennedy,Sister,Brother
Eunice_Kennedy_Shriver,Jean_Kennedy_Smith,Sister,Sister
John_F_Kennedy,Ted_Kennedy,Brother,Brother
John_F_Kennedy,Robert_F_Kennedy,Brother,Brother
John_F_Kennedy,Jean_Kennedy_Smith,Brother,Sister
Ted_Kennedy,Robert_F_Kennedy,Brother,Brother
Ted_Kennedy,Jean_Kennedy_Smith,Brother,Sister
Robert_F_Kennedy,Jean_Kennedy_Smith,Brother,Sister
